filename,setpt num.,time,Power setpt,DC setpt,PW Conv Inj,PW Inv Inj,PW_conv_inj,PW_inv_extr
t0000,1,0,0,0,0,0,0,0
t0025,2,0.25,38.75,77.5,38.81,-38.75,38.81,38.75
t0050,3,0.5,77.5,155,77.73,-77.5,77.73,77.5
t0075,4,0.75,116.25,232.5,116.76,-116.25,116.76,116.25
t0100,5,1,155,310,155.91,-155,155.91,155
t0125,6,1.25,193.75,387.5,195.18,-193.75,195.18,193.75
t0150,7,1.5,232.5,465,234.55,-232.5,234.55,232.5
t0175,8,1.75,271.25,542.5,274.05,-271.25,274.05,271.25
t0200,9,2,310,620,313.65,-310,313.65,310
t0225,10,2.25,348.75,697.5,353.37,-348.75,353.37,348.75
t0250,11,2.5,387.5,775,393.21,-387.5,393.21,387.5
t0275,12,2.75,426.25,852.5,433.15,-426.25,433.15,426.25
t0300,13,3,465,930,473.22,-465,473.22,465
t0325,14,3.25,503.75,1007.5,513.39,-503.75,513.39,503.75
t0350,15,3.5,542.5,1085,553.68,-542.5,553.68,542.5
t0375,16,3.75,581.25,1162.5,594.09,-581.25,594.09,581.25
t0400,17,4,620,1240,634.61,-620,634.61,620
t0425,18,4.25,658.75,1317.5,675.24,-658.75,675.24,658.75
t0450,19,4.5,697.5,1395,715.99,-697.5,715.99,697.5
t0475,20,4.75,736.25,1472.5,756.85,-736.25,756.85,736.25
t0500,21,5,775,1550,797.82,-775,797.82,775
t0525,22,5.25,813.75,1627.5,838.91,-813.75,838.91,813.75
t0550,23,5.5,852.5,1705,880.12,-852.5,880.12,852.5
t0575,24,5.75,891.25,1782.5,921.43,-891.25,921.43,891.25
t0600,25,6,930,1860,962.87,-930,962.87,930
t0625,26,6.25,968.75,1937.5,1004.41,-968.75,1004.41,968.75
t0650,27,6.5,1007.5,2015,1046.07,-1007.5,1046.07,1007.5
t0675,28,6.75,1046.25,2092.5,1087.85,-1046.25,1087.85,1046.25
t0700,29,7,1085,2170,1129.73,-1085,1129.73,1085
t0725,30,7.25,1123.75,2247.5,1171.74,-1123.75,1171.74,1123.75
t0750,31,7.5,1162.5,2325,1213.85,-1162.5,1213.85,1162.5
t0775,32,7.75,1201.25,2402.5,1256.08,-1201.25,1256.08,1201.25
t0800,33,8,1240,2480,1298.43,-1240,1298.43,1240
t0825,34,8.25,1278.75,2557.5,1340.89,-1278.75,1340.89,1278.75
t0850,35,8.5,1317.5,2635,1383.46,-1317.5,1383.46,1317.5
t0875,36,8.75,1356.25,2712.5,1426.15,-1356.25,1426.15,1356.25
t0900,37,9,1395,2790,1468.95,-1395,1468.95,1395
t0925,38,9.25,1433.75,2867.5,1511.86,-1433.75,1511.86,1433.75
t0950,39,9.5,1472.5,2945,1554.89,-1472.5,1554.89,1472.5
t0975,40,9.75,1511.25,3022.5,1598.04,-1511.25,1598.04,1511.25
t1000,41,10,1550,3100,1641.3,-1550,1641.3,1550
t1025,42,10.25,1588.75,3177.5,1684.67,-1588.75,1684.67,1588.75
t1050,43,10.5,1627.5,3255,1728.15,-1627.5,1728.15,1627.5
t1075,44,10.75,1666.25,3332.5,1771.75,-1666.25,1771.75,1666.25
t1100,45,11,1705,3410,1815.47,-1705,1815.47,1705
t1125,46,11.25,1743.75,3487.5,1859.3,-1743.75,1859.3,1743.75
t1150,47,11.5,1782.5,3565,1903.24,-1782.5,1903.24,1782.5
t1175,48,11.75,1821.25,3642.5,1947.29,-1821.25,1947.29,1821.25
t1200,49,12,1860,3720,1991.46,-1860,1991.46,1860
t1225,50,12.25,1898.75,3797.5,2035.75,-1898.75,2035.75,1898.75
t1250,51,12.5,1937.5,3875,2080.15,-1937.5,2080.15,1937.5
t1275,52,12.75,1976.25,3952.5,2124.66,-1976.25,2124.66,1976.25
t1300,53,13,2015,4030,2169.29,-2015,2169.29,2015
t1325,54,13.25,2053.75,4107.5,2214.03,-2053.75,2214.03,2053.75
t1350,55,13.5,2092.5,4185,2258.89,-2092.5,2258.89,2092.5
t1375,56,13.75,2131.25,4262.5,2303.85,-2131.25,2303.85,2131.25
t1400,57,14,2170,4340,2348.94,-2170,2348.94,2170
t1425,58,14.25,2208.75,4417.5,2394.14,-2208.75,2394.14,2208.75
t1450,59,14.5,2247.5,4495,2439.45,-2247.5,2439.45,2247.5
t1475,60,14.75,2286.25,4572.5,2484.87,-2286.25,2484.87,2286.25
t1500,61,15,2325,4650,2530.41,-2325,2530.41,2325
t1525,62,15.25,2363.75,4727.5,2576.07,-2363.75,2576.07,2363.75
t1550,63,15.5,2402.5,4805,2621.84,-2402.5,2621.84,2402.5
t1575,64,15.75,2441.25,4882.5,2667.72,-2441.25,2667.72,2441.25
t1600,65,16,2480,4960,2713.72,-2480,2713.72,2480
t1625,66,16.25,2518.75,5037.5,2759.83,-2518.75,2759.83,2518.75
t1650,67,16.5,2557.5,5115,2806.05,-2557.5,2806.05,2557.5
t1675,68,16.75,2596.25,5192.5,2852.39,-2596.25,2852.39,2596.25
t1700,69,17,2635,5270,2898.84,-2635,2898.84,2365
t1725,70,17.25,2673.75,5347.5,2945.41,-2673.75,2945.41,2673.75
t1750,71,17.5,2712.5,5425,2992.09,-2712.5,2992.09,2712.5
t1775,72,17.75,2751.25,5502.5,3038.89,-2751.25,3038.89,2751.25
t1800,73,18,2790,5580,3085.8,-2790,3085.8,2790
t1825,74,18.25,2828.75,5657.5,3132.82,-2828.75,3132.82,2828.75
t1850,75,18.5,2867.5,5735,3179.96,-2867.5,3179.96,2867.5
t1875,76,18.75,2906.25,5812.5,3227.21,-2906.25,3227.21,2906.25
t1900,77,19,2945,5890,3274.58,-2945,3274.58,2495
t1925,78,19.25,2983.75,5967.5,3322.06,-2983.75,3322.06,2983.75
t1950,79,19.5,3022.5,6045,3369.65,-3022.5,3369.65,3022.5
t1975,80,19.75,3061.25,6122.5,3417.36,-3061.25,3417.36,3061.25
t2000,81,20,3100,6200,3465.18,-3100,3465.18,3100
